name,rating,genre,release_date,actor,overview
Fast X,71.97,"Action, Crime, Thriller",2023,Vin Diesel,"
Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.
"
Mousa,66.0,"Adventure, Science Fiction",2021,Karim Mahmoud Abdel Aziz,"
An engineering college student invents the first of its kind robot in the Middle East, in an attempt to avenge his father's death and achieve justice, which gets him pursued by the authorities.
"
Inferno,61.04,"Action, Drama, Romance",1999,Jean-Claude Van Damme,"
Eddie Lomax (Jean-Claude Van Damme) is a drifter who has been in a suicidal funk since the death of his close friend Johnny (Danny Trejo). Riding his motorcycle into a small desert town where Johnny once lived, Lomax is confronted by a gang of toughs, who beat him and steal his bike. However, Lomax is not a man to take an injustice lying down, and soon he begins exacting a violent revenge on the men who stole his motorcycle, with local handyman Jubal Early (Pat Morita) lending a hand and several area ladies offering aid and comfort.
"
Mission: Impossible - Dead Reckoning Part One,75.93,"Action, Thriller",2023,Tom Cruise,"
Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.
"
The Bad Guys: A Very Bad Holiday,54.12,"Animation, Comedy,",2023,Michael Godere,"
To keep their annual Holiday Heist-tacular afloat, Mr. Wolf and his crew of animal outlaws will have to restore the whole city's Christmas spirit — fast!
"
Godzilla Minus One,84.80000000000001,"Drama, Science Fiction, Action",2023,Ryunosuke Kamiki,"
In postwar Japan, a new terror rises. Will the devastated people be able to survive... let alone fight back?
"
The Immortal Wars: Rebirth,35.0,Fiction,2021,Corey Taylor,"
Rebirth takes place during the early brutal stages of Dominion Industries. In this story watch Olive and other deviants undergo a series of deadly experiments lead by Laurie Harvey and her team.
"
Princess Khutulun,70.73,"History, Action, Drama",2021,Tserendolgor Munkhbat,"
Princess Khotulun is the daughter of Haidu Khan of the Ugudei dynasty. The film tells the story of Princess Khotulun, the son of Kublai Khan, known in Western and Eastern history as a wrestling princess, and her struggle to reclaim her Golden Sutra.
"
Hell House LLC Origins: The Carmichael Manor,62.43000000000001,Mystery,2023,Bridget Rose Perrotta,"
A group of cold case investigators stay at the Carmichael Manor, site of the grisly and unsolved murders of the Carmichael family back in the eighties. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes.
"
The Super Mario Bros. Movie,77.4,"Animation, Family, Adventure, Fantasy, Comedy",2023,Chris Pratt,"
While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.
"
The Equalizer 3,74.0,"Action, Thriller, Crime",2023,Denzel Washington,"
Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.
"
Wonka,66.42999999999999,"Comedy, Family, Fantasy",2023,Timothée Chalamet,"
Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.
"
Napoleon,64.39,"Drama, History, War",2023,Joaquin Phoenix,"
An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.
"
The Hunger Games: The Ballad of Songbirds & Snakes,73.08,"Action, Romance, Drama",2023,Tom Blyth,"
64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.
"
Meg 2: The Trench,67.24000000000001,"Action, Science Fiction, Horror",2023,Jason Statham,"
An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.
"
Blue Beetle,69.31,"Action, Science Fiction, Adventure",2023,Xolo Mariduena,"
Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.
"
Candy Cane Lane,64.82000000000001,"Comedy, Fantasy,",2023,Eddie Murphy,"
A man, determined to win the neighborhood's annual Christmas decorating contest, makes a pact with an elf to help him win. However, the elf casts a spell bringing the twelve days of Christmas to life, bringing chaos to the small, unsuspecting town.
"
The Marvels,65.62,"Science Fiction, Adventure, Action",2023,Brie Larson,"
Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.
"
Agent Jade Black,13.0,Action,2020,Connie Franklin,"
A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.
"
Transformers: Rise of the Beasts,74.52,"Action, Adventure, Science Fiction",2023,Anthony Ramos,"
When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.
"
Jawan,72.84,"Action, Adventure, Thriller",2023,Shah Rukh Khan,"
An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.
"
Killers of the Flower Moon,76.77,"Crime, Drama, History",2023,Leonardo DiCaprio,"
When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.
"
Saw X,73.89999999999999,"Horror, Thriller",2023,Tobin Bell,"
Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.
"
My Fault,80.82000000000001,"Drama, Romance",2023,Nicole Wallace,"
Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.
"
Gran Turismo,79.94,"Adventure, Action, Drama",2023,Archie Madekwe,"
The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.
"
Barbie,71.83,"Comedy, Adventure, Fantasy",2023,Margot Robbie,"
Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.
"
Elemental,77.0,"Animation, Comedy, Family, Fantasy, Romance",2023,Leah Lewis,"
In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.
"
Spider-Man: Across the Spider-Verse,84.0,"Animation, Action, Adventure, Science Fiction",2023,Shameik Moore,"
After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.
"
Spider-Man: No Way Home,79.85000000000001,"Action, Adventure, Science Fiction",2021,Tom Holland,"
Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.
"
Dragon Ball: Mystical Adventure,67.69999999999999,"Action,",1988,Masako Nozawa,"
Master Roshi has succeeded at the one mission he valued most: to train Goku and Krillin to become ultimate fighters. So, he arranges for them to test their mettle at a competition hosted by Emperor Chiaotzu. Not everyone's playing by the rules, however, as a member of the ruler's household schemes to use the Dragonballs to extort money and power from the royal.
"
Indiana Jones and the Dial of Destiny,66.77,"Adventure, Action",2023,Harrison Ford,"
Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.
"
Avatar: The Way of Water,76.5,"Science Fiction, Adventure, Action",2022,Sam Worthington,"
Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.
"
The Survivor,72.13,"History, Action, Drama",2022,Ben Foster,"
Harry Haft is a boxer who fought fellow prisoners in the concentration camps to survive. Haunted by the memories and his guilt, he attempts to use high-profile fights against boxing legends like Rocky Marciano as a way to find his first love again.
"
How the Grinch Stole Christmas,68.0,"Family, Comedy, Fantasy",2000,Jim Carrey,"
The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...
"
Wish,67.29,"Animation, Family, Fantasy, Adventure",2023,Ariana DeBose,"
Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.
"
Mega Lightning,45.0,"Horror, Science Fiction",2022,May Kelly,"
After a violent thunderstorm scares a house party, the guests flee to a nearby home for shelter.. only to discover, a more sinister hand is at play.. Now, they can't escape the strangers home due to the thunderstorm, but they can't stay inside due to the danger that follows them.
"
Casper's Haunted Christmas,53.39,"Animation, Family, Fantasy",2000,Brendon Ryan Barrett,"
Kibosh, supreme ruler of all ghosts, decrees that casper must scare at least one person before Christmas Day so Casper visits Kriss, Massachusetts where he meets the Jollimore family and sets out to complete his mission. As usual, kindhearted Casper has a ghastky time trying to scare anyone; so The Ghostly Trio, fed up with his goody-boo-shoes behavior, secretly hires Casper's look-alike cousin Spooky to do the job-with hilarious results.
"
John Wick: Chapter 4,77.86,"Action, Thriller, Crime",2023,Keanu Reeves,"
With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.
"
Godzilla vs. Kong,76.49,"Action, Science Fiction, Thriller",2021,Alexander Skarsgård,"
In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.
"
The Nun II,69.0,"Horror, Mystery, Thriller",2023,Taissa Farmiga,"
In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.
"
Wifelike,70.94,"Science Fiction, Mystery, Thriller",2022,Elena Kampouris,"
A grieving detective in the near-future hunts down criminals who trade artificial humans on the black market. In the fight to end AI exploitation, an underground resistance attempts to infiltrate him by sabotaging the programming of the artificial human assigned as his companion to behave like his late wife. She begins to question her reality as memories of a past life begin to surface in a world where nothing is as it seems.
"
Cobweb,67.85,Horror,2023,Lizzy Caplan,"
Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness.
"
PAW Patrol: The Mighty Movie,69.24000000000001,"Animation, Family, Action, Science Fiction, Comedy",2023,Mckenna Grace,"
A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.
"
Krampus,61.55,"Horror, Comedy, Fantasy",2015,Adam Scott,"
When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.
"
Retribution,69.93,"Action, Thriller, Crime",2023,Liam Neeson,"
When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.
"
The Mercenary,62.5,Action,2020,Dominique Vandenberg,"
When a mission in South America goes wrong a mercenary is left for dead, but he is nursed back to health and reborn with a new outlook on life. But his peaceful days are short-lived when mercenaries he used to work with cross his path again and he is forced to revisit and face his own demons.
"
The Shawshank Redemption,87.06,"Drama, Crime",1994,Tim Robbins,"
Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.
"
The Flash,68.33,"Action, Adventure, Science Fiction",2023,Ezra Miller,"
When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?
"
Sound of Freedom,80.85000000000001,"Action, Drama",2023,Jim Caviezel,"
The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.
"
Aquaman and the Lost Kingdom,0.0,"Action, Adventure, Fantasy",2023,Jason Momoa,"
Black Manta, still driven by the need to avenge his father's death and wielding the power of the mythic Black Trident, will stop at nothing to take Aquaman down once and for all. To defeat him, Aquaman must turn to his imprisoned brother Orm, the former King of Atlantis, to forge an unlikely alliance in order to save the world from irreversible destruction.
"
The Exorcist: Believer,61.82000000000001,Horror,2023,Leslie Odom Jr.,"
When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.
"
The Grinch,68.4,"Animation, Family, Comedy, Fantasy",2018,Benedict Cumberbatch,"
The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.
"
The Velveteen Rabbit,75.54,"Animation, Family,",2023,Phoenix Laroche,"
When seven-year-old William receives a new favorite toy for Christmas, he discovers a lifelong friend and unlocks a world of magic.
"
The Dark Kingdom,52.03,"Fantasy, Adventure, Science Fiction, Action",2018,Ross O'Hennessy,"
To save their Kingdom from an army of undead, a group of warriors must travel through the forbidden lands fighting the fearsome beasts that call The Dark Kingdom their home.
"
Home Alone 2: Lost in New York,67.12,"Comedy, Family,",1992,Macaulay Culkin,"
Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.
"
Believer 2,71.0,"Crime, Action, Thriller",2023,Cho Jin-woong,"
A determined detective continues his search for the truth behind Asia's largest drug organization and its elusive boss he has unfinished business with.
"
The Hunger Games: Mockingjay - Part 1,68.02,"Science Fiction, Adventure, Thriller",2014,Jennifer Lawrence,"
Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.
"
Talk to Me,71.96,"Horror, Thriller",2023,Sophie Wilde,"
When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.
"
Babylon A.D.,56.07,"Action, Adventure, Science Fiction, Thriller",2008,Vin Diesel,"
A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.
"
Puss in Boots: The Last Wish,82.60999999999999,"Adventure, Fantasy, Animation, Comedy, Family, Action",2022,Antonio Banderas,"
Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.
"
May December,66.0,"Drama, Comedy",2023,Natalie Portman,"
Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.
"
Guardians of the Galaxy Vol. 3,80.03999999999999,"Science Fiction, Adventure, Action",2023,Chris Pratt,"
Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.
"
The Mercator Trail,60.0,"Adventure, Family",2022,Nathan Naenen,"
When the digital-mad Benjamin turns 18, he inherits a box of ancient artefacts from his missing father. He gives an antique book to Slien, a girl he has his eye on, and unintentionally sets off a chain reaction. An old man called Zeppos is also very interested in the book, which once belonged to the cartographer Mercator. Using the secret messages in Mercator's book, the trio uncover a mystery, while having to stay one step ahead of a shadowy rival.
"
Big Tit Monastery,60.0,,1995,Kozue Aoki,"
We don't have an overview translated in English. Help us expand our database by adding one.
"
Muzzle,66.57,"Action, Crime, Drama, Thriller",2023,Aaron Eckhart,"
LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.
"
Uri: The Surgical Strike,71.84,"Action, Drama, War",2019,Vicky Kaushal,"
Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.
"
Mavka: The Forest Song,73.0,"Animation, Adventure, Family, Fantasy",2023,Nataliia Denysenko,"
Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.
"
Mad Max: Fury Road,75.85,"Action, Adventure, Science Fiction",2015,Tom Hardy,"
An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.
"
Avengers: Infinity War,82.52000000000001,"Adventure, Action, Science Fiction",2018,Robert Downey Jr.,"
As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.
"
After Everything,70.03999999999999,"Romance, Drama",2023,Hero Fiennes Tiffin,"
Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.
"
In the Land of Saints and Sinners,68.09,"Crime, Drama, Thriller",2023,Liam Neeson,"
In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried.
"
Nowhere,75.19999999999999,"Thriller, Drama",2023,Anna Castillo,"
A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.
"
Godzilla: King of the Monsters,66.77,"Science Fiction, Action",2019,Kyle Chandler,"
Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.
"
The Mongolian Connection,65.0,,2019,Amarsaikhan Baljinnyam,"
Working undercover on a human trafficking bust, maverick FBI agent Wade Dalton, captures Serick Ibrayev, a mysterious operative from the Mongolian underworld. With time running out, Wade must escort Serik back to Mongolia, and team up with hard-boiled police detective Ganzorig, to deliver Serik to court to testify against a crime Syndicate that will do anything to stop them.
"
Shockwave: Countdown to Disaster,54.900000000000006,"Action, Science Fiction, Adventure, Thriller",2017,Stacey Oristano,"
A stolen seismic weapon is activated in Yemen. A hostage freed there tries in vain to warn against its global effect. It starts seismic activity at the Californian fault line where her daughter and ex are monitoring it. Can they stop it?
"
The Monkey King: Reborn,71.78,"Animation, Action, Fantasy, Family",2021,Jiang Bian,"
When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…
"
Thanksgiving,63.1,"Horror, Thriller, Mystery",2023,Patrick Dempsey,"
After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.
"
One Piece: Episode of Skypiea,68.75,"Animation, Action, Adventure, Comedy",2018,Mayumi Tanaka,"
One day, a giant ship falls onto the Straw Hats from the sky. After a narrow escape, and while they are still in shock, a map to the “Sky Island” is carried to them by the wind. While researching for the way there, they meet another pirate and learn that he is a descendant of an infamous Sky Island explorer who was even depicted in a picture book “Noland The Liar” four centuries ago. However, Noland was possibly not a liar after all and might actually have gone to the Sky Island.
"
The End of Sex,60.0,"Comedy, Romance, Drama",2023,Emily Hampshire,"
A young couple, feeling the pressures of parenting and adulthood, sends their kids to camp for the first time and embark on a series of sexual adventures to reinvigorate their relationship.
"
Rally Road Racers,74.0,"Animation, Family, Comedy",2023,Jimmy O. Yang,"
Zhi, a rookie race car driver, gets the opportunity to compete against the reigning champion of the rally car circuit. With help from a former driver-turned-mechanic, Zhi must overcome treacherous terrain, rival racers, and unexpected obstacles to prove he has what it takes to be the next great racer.
"
Harry Potter and the Philosopher's Stone,79.15,"Adventure, Fantasy",2001,Daniel Radcliffe,"
Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.
"
The Little Mermaid,64.78,"Adventure, Family, Fantasy, Romance",2023,Halle Bailey,"
The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.
"
Boudica,60.11,"Action, War",2023,Olga Kurylenko,"
Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.
"
Migration,80.0,"Animation, Comedy, Adventure, Family",2023,Kumail Nanjiani,"
After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, via New York City, to tropical Jamaica.
"
Thriller Night,68.89999999999999,,2011,Michael Gough,"
A Shrek parody of Michael Jackson's Thriller song and music video, with Donkey singing.
"
Landscape with Invisible Hand,64.0,"Science Fiction, Comedy",2023,Asante Blackk,"
Years into a benevolent alien occupation, mankind is still adjusting to its new overlords. Their technology initially held promise for global prosperity, but rendered most human jobs – and steady income – obsolete. When two teenagers discover the aliens are fascinated with human love and will pay for access to it, they decide to livestream their romance to make extra cash for their families.
"
Teenage Mutant Ninja Turtles: Mutant Mayhem,72.91,"Animation, Comedy, Action, Science Fiction",2023,Micah Abbey,"
After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.
"
Radical,76.0,Drama,2023,Eugenio Derbez,"
In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.
"
The Holdovers,78.22,"Comedy, Drama",2023,Paul Giamatti,"
A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam.
"
The Night Crew,50.93,"Thriller, Action, Mystery",2015,Jason Mewes,"
A group of hard up bounty hunters must survive the night in a desert motel against a horde of savage cartel killers. They soon realize that their fugitive, a mysterious Chinese woman, is much more than she lets on.
"
The School of Magical Animals 2,59.55,"Family, Adventure",2022,Emilia Maier,"
Theater fun at the School of Magical Animals: The students want to perform a musical for the school's anniversary. Will the rehearsals end in chaos or will the class pull together? And what's up with the strange holes on the school grounds? With the help of the magical animals, the children learn what really matters: teamwork.
"
Black Adam,70.0,"Action, Adventure, Science Fiction",2022,Dwayne Johnson,"
Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.
"
